,county,incidence_rate_per_100k,avg_annual_count,recent_trend,five_year_incidence_change_rate,stateFIPS,incidence_rate_per_100k_low_95,incidence_rate_per_100k_high_95,five_year_incidence_change_rate_low_95,five_year_incidence_change_rate_high_95
22,Morgan County          ,466.7 ,688,stable,0.2 ,1,450.9, 482.9,-4.1, 4.6
23,Clay County          ,465.4 ,86,stable,1.2 ,1,421.0, 513.6,-7.2, 10.4
24,Cleburne County          ,460.1 ,91,stable,-1.9 ,1,417.7, 506.0,-12.6, 10.1
25,Jackson County          ,457.4 ,324,stable,-1.1 ,1,434.6, 481.1,-11.1, 10.1
26,Sumter County          ,456.7 ,71,stable,0.5 ,1,407.7, 510.2,-4.1, 5.3
27,Jefferson County          ,455.5 ,"3,478",stable,-0.2 ,1,448.6, 462.5,-2.0, 1.7
28,Marengo County          ,454.5 ,119,stable,0.1 ,1,417.5, 494.0,-4.2, 4.6
29,Dale County          ,454.2 ,267,stable,3.3 ,1,429.6, 479.8,-10.4, 19.1
30,Pike County          ,453.0 ,156,stable,2.0 ,1,420.9, 487.0,-6.3, 11.1
31,Conecuh County          ,452.0 ,81,stable,1.5 ,1,406.5, 501.6,-5.7, 9.1
32,Henry County          ,451.1 ,109,stable,-3.1 ,1,412.4, 492.9,-7.2, 1.2
33,Calhoun County          ,450.9 ,647,stable,-0.2 ,1,435.1, 467.2,-3.3, 3.1
34,Marshall County          ,450.2 ,512,stable,-0.6 ,1,432.6, 468.4,-4.3, 3.3
35,Talladega County          ,449.8 ,454,stable,-1.0 ,1,430.9, 469.2,-5.8, 4.1
36,Madison County          ,446.7 ,"1,762",stable,2.1 ,1,437.3, 456.3,-0.9, 5.3
37,Fayette County          ,446.3 ,105,stable,3.9 ,1,407.5, 488.1,-2.7, 10.9
38,Mobile County          ,445.8 ,"2,145",falling,-1.9 ,1,437.2, 454.5,-3.8, -0.1
39,Tuscaloosa County          ,445.6 ,888,stable,-1.8 ,1,432.2, 459.2,-3.8, 0.1
40,Geneva County          ,445.4 ,165,stable,3.0 ,1,414.6, 478.1,-5.0, 11.6
41,Baldwin County          ,445.0 ,"1,189",stable,-2.0 ,1,433.4, 456.8,-4.5, 0.5
42,Cullman County          ,444.0 ,463,stable,-0.1 ,1,425.6, 463.0,-4.2, 4.1
43,Escambia County          ,440.7 ,210,stable,-0.6 ,1,414.0, 468.8,-3.0, 1.9
44,Houston County          ,440.7 ,564,stable,1.1 ,1,424.2, 457.7,-2.7, 5.1
45,Monroe County          ,440.1 ,127,stable,-2.3 ,1,405.4, 477.2,-8.9, 4.8
46,Blount County          ,440.0 ,317,stable,0.1 ,1,418.0, 462.8,-5.0, 5.5
47,Pickens County          ,437.5 ,115,stable,2.1 ,1,401.3, 476.4,-12.1, 18.5
48,Choctaw County          ,436.2 ,85,stable,1.5 ,1,393.6, 482.7,-8.3, 12.3
49,Randolph County          ,435.7 ,135,stable,-3.9 ,1,402.3, 471.4,-11.3, 4.2
50,Montgomery County          ,434.4 ,"1,073",stable,2.2 ,1,422.6, 446.4,0.0, 4.3
51,Colbert County          ,433.1 ,318,stable,0.6 ,1,411.4, 455.7,-6.0, 7.7
52,Franklin County          ,430.9 ,162,stable,1.1 ,1,401.3, 462.3,-8.4, 11.7
53,Barbour County          ,429.8 ,145,stable,0.6 ,1,398.3, 463.3,-7.8, 9.7
54,Winston County          ,428.2 ,146,stable,-1.0 ,1,396.5, 462.1,-7.2, 5.6
55,Chilton County          ,426.6 ,222,stable,-4.3 ,1,401.3, 453.1,-13.4, 5.7
56,Perry County          ,425.5 ,51,stable,1.4 ,1,372.5, 484.1,-10.4, 14.7
57,Lauderdale County          ,423.7 ,524,stable,1.8 ,1,407.1, 440.9,-1.6, 5.4
58,Cherokee County          ,423.6 ,162,stable,-8.4 ,1,393.5, 455.7,-17.0, 1.1
59,Shelby County          ,420.1 ,939,stable,-3.8 ,1,407.9, 432.7,-8.5, 1.1
60,Washington County          ,412.8 ,89,stable,-5.6 ,1,374.2, 454.4,-10.8, 0.0
61,Coffee County          ,412.0 ,254,stable,-1.1 ,1,389.3, 435.8,-8.0, 6.4
62,Butler County          ,409.0 ,111,stable,1.6 ,1,374.2, 446.3,-8.4, 12.9
63,Lee County          ,403.2 ,548,stable,0.0 ,1,387.9, 419.1,-6.4, 6.9
64,Hale County          ,399.7 ,80,stable,-3.4 ,1,359.8, 443.0,-14.8, 9.5
65,DeKalb County          ,395.5 ,340,stable,0.3 ,1,376.5, 415.2,-4.9, 5.9
66,Coosa County          ,355.1 ,60,stable,5.6 ,1,314.3, 400.4,-18.5, 37.0
67,Mohave County          ,443.1 ,"1,585",stable,-2.9 ,4,432.4, 454.0,-6.5, 0.9
68,Graham County          ,399.2 ,149,stable,1.9 ,4,370.8, 429.3,-2.9, 7.0
69,Yavapai County          ,397.6 ,"1,578",stable,0.4 ,4,387.9, 407.6,-7.1, 8.6
70,Maricopa County          ,395.0 ,"17,319",stable,-1.1 ,4,392.4, 397.7,-2.9, 0.7
71,Pima County          ,385.3 ,"4,853",stable,-0.4 ,4,380.3, 390.3,-3.3, 2.6
72,Cochise County          ,375.0 ,655,stable,3.1 ,4,361.7, 388.7,-3.1, 9.8
73,Greenlee County          ,374.5 ,35,stable,14.1 ,4,319.8, 435.8,-11.6, 47.4
74,Coconino County          ,360.0 ,459,stable,1.4 ,4,344.8, 375.8,-3.8, 6.9
75,Pinal County          ,357.9 ,"1,763",stable,-2.0 ,4,350.1, 365.7,-6.2, 2.4
76,Yuma County          ,347.9 ,831,stable,1.5 ,4,337.1, 358.9,-2.0, 5.2
77,Navajo County          ,333.2 ,411,stable,-2.9 ,4,318.5, 348.5,-9.0, 3.6
78,Gila County          ,332.9 ,297,stable,-0.1 ,4,314.2, 352.5,-7.2, 7.5
79,Santa Cruz County          ,304.5 ,166,stable,2.0 ,4,283.7, 326.5,-4.4, 8.9
80,La Paz County          ,303.6 ,125,stable,1.0 ,4,275.2, 334.6,-7.1, 9.7
81,Apache County          ,272.1 ,204,falling,-6.4 ,4,255.3, 289.8,-9.5, -3.1
82,Woodruff County          ,592.7 ,57,stable,5.3 ,5,522.0, 671.0,-12.2, 26.4
83,Poinsett County          ,542.0 ,168,stable,2.3 ,5,505.1, 581.0,-2.7, 7.6
84,Calhoun County          ,541.2 ,41,stable,6.0 ,5,467.2, 624.9,-10.7, 25.7
85,Monroe County          ,526.4 ,60,stable,6.5 ,5,465.6, 593.8,-1.8, 15.5
86,Clay County          ,522.4 ,115,stable,2.1 ,5,478.9, 569.3,-11.9, 18.2
87,Grant County          ,522.0 ,118,stable,2.4 ,5,479.8, 567.1,-8.6, 14.8
88,Van Buren County          ,520.4 ,143,stable,0.6 ,5,480.3, 563.4,-13.9, 17.5
89,Lawrence County          ,512.2 ,115,rising,10.3 ,5,469.5, 558.0,5.4, 15.5
90,Lonoke County          ,509.2 ,373,stable,-0.3 ,5,486.0, 533.3,-3.5, 3.1
91,Dallas County          ,508.5 ,57,stable,2.4 ,5,448.5, 575.0,-8.4, 14.4
92,White County          ,507.8 ,454,stable,-0.6 ,5,486.8, 529.5,-2.4, 1.3
93,Prairie County          ,506.6 ,63,stable,-1.3 ,5,448.5, 570.9,-3.4, 0.9
94,Ashley County          ,502.5 ,143,rising,5.7 ,5,465.2, 542.1,0.1, 11.7
95,Bradley County          ,499.9 ,75,stable,-2.6 ,5,449.4, 555.0,-15.6, 12.4
96,Cleveland County          ,499.1 ,58,stable,7.0 ,5,441.1, 563.2,-5.6, 21.4
97,Perry County          ,497.1 ,71,stable,8.8 ,5,444.7, 554.4,-6.3, 26.4
98,Randolph County          ,495.9 ,117,stable,0.6 ,5,454.9, 539.9,-16.9, 21.7
99,Garland County          ,495.8 ,729,stable,2.5 ,5,478.9, 513.1,-1.2, 6.4
100,Jefferson County          ,495.7 ,435,stable,-0.3 ,5,474.4, 517.8,-4.6, 4.3
101,Arkansas County          ,494.1 ,121,stable,2.6 ,5,454.3, 536.7,-2.2, 7.5
102,Clark County          ,491.1 ,127,stable,1.7 ,5,452.5, 532.3,-2.5, 6.0
103,Cross County          ,489.4 ,105,stable,2.5 ,5,447.4, 534.5,-2.7, 7.9
104,Union County          ,488.9 ,251,stable,-0.5 ,5,461.4, 517.7,-4.0, 3.2
105,Ouachita County          ,486.4 ,169,stable,4.0 ,5,453.0, 521.8,-5.2, 14.1
106,Pulaski County          ,484.6 ,"2,097",stable,-0.9 ,5,475.1, 494.2,-5.1, 3.5
107,Faulkner County          ,484.4 ,542,stable,-1.1 ,5,465.9, 503.3,-6.0, 4.0
108,Jackson County          ,483.6 ,110,stable,-0.4 ,5,443.1, 527.0,-7.6, 7.4
109,Cleburne County          ,481.3 ,205,stable,4.7 ,5,450.4, 514.1,-5.1, 15.5
110,Saline County          ,480.9 ,673,stable,-2.7 ,5,464.5, 497.8,-8.9, 3.9
111,Marion County          ,480.2 ,140,falling,-5.2 ,5,441.1, 522.3,-9.8, -0.5
112,Craighead County          ,474.1 ,498,stable,3.8 ,5,455.4, 493.4,-3.2, 11.2
113,Baxter County          ,472.4 ,361,stable,0.6 ,5,448.4, 497.6,-3.6, 5.0
114,Lee County          ,468.3 ,60,stable,5.4 ,5,415.4, 526.5,-4.0, 15.7
115,Boone County          ,467.9 ,241,stable,0.8 ,5,441.0, 496.2,-5.4, 7.3
116,Phillips County          ,466.5 ,114,stable,0.9 ,5,427.4, 508.3,-6.4, 8.7
117,Searcy County          ,466.0 ,58,stable,2.6 ,5,409.3, 529.1,-14.0, 22.4
118,Independence County          ,465.4 ,217,stable,2.3 ,5,437.6, 494.7,-7.9, 13.6
119,Washington County          ,465.3 ,925,stable,2.1 ,5,451.7, 479.1,-1.3, 5.6
120,Yell County          ,463.3 ,126,stable,-4.8 ,5,427.1, 501.8,-14.3, 5.8
121,Sharp County          ,461.0 ,126,stable,3.3 ,5,422.7, 502.2,-9.3, 17.5
122,Crawford County          ,460.0 ,339,stable,-1.4 ,5,437.8, 483.0,-5.6, 3.0
123,Greene County          ,459.9 ,234,stable,2.5 ,5,433.4, 487.5,-2.3, 7.5
124,Mississippi County          ,459.2 ,222,stable,3.7 ,5,432.0, 487.7,-3.1, 11.0
125,Sebastian County          ,457.0 ,660,stable,2.6 ,5,441.2, 473.2,-0.8, 6.1
126,Pike County          ,456.5 ,66,stable,0.6 ,5,407.2, 510.5,-16.6, 21.3
127,Little River County          ,455.1 ,78,stable,-5.2 ,5,409.2, 505.2,-14.0, 4.4
128,Drew County          ,454.7 ,101,rising,8.4 ,5,414.9, 497.4,3.4, 13.6
129,Logan County          ,446.6 ,134,stable,4.5 ,5,412.4, 483.1,-7.7, 18.3
130,Chicot County          ,445.4 ,70,stable,0.7 ,5,398.3, 496.9,-17.9, 23.4
131,Johnson County          ,442.6 ,136,stable,2.0 ,5,409.3, 478.0,-8.4, 13.5
132,Pope County          ,441.7 ,309,stable,1.0 ,5,419.5, 464.7,-3.8, 6.1
133,Benton County          ,441.7 ,"1,111",stable,0.1 ,5,430.0, 453.6,-1.6, 1.8
134,Hot Spring County          ,439.3 ,193,stable,-0.2 ,5,411.2, 468.9,-5.7, 5.7
135,Stone County          ,437.3 ,90,stable,0.7 ,5,394.2, 484.4,-8.1, 10.4
136,Nevada County          ,434.9 ,53,stable,5.1 ,5,381.8, 493.9,-5.8, 17.2
137,Crittenden County          ,429.8 ,221,stable,1.8 ,5,404.2, 456.6,-6.4, 10.7
138,Polk County          ,427.7 ,128,stable,2.1 ,5,393.8, 464.0,-7.5, 12.7
139,Franklin County          ,425.8 ,101,stable,8.1 ,5,388.4, 466.0,-5.8, 24.0
140,Desha County          ,425.1 ,69,stable,2.1 ,5,379.7, 474.8,-6.9, 12.1
141,Carroll County          ,423.1 ,175,stable,5.0 ,5,394.1, 454.0,-0.4, 10.6
142,Miller County          ,422.1 ,218,stable,-7.7 ,5,396.9, 448.5,-14.9, 0.2
143,Howard County          ,421.5 ,70,stable,-2.0 ,5,377.3, 469.7,-11.6, 8.7
144,Fulton County          ,421.1 ,84,stable,2.2 ,5,379.1, 467.0,-14.7, 22.4
145,Montgomery County          ,414.0 ,61,stable,-0.6 ,5,364.0, 469.9,-16.7, 18.6
146,Scott County          ,413.9 ,61,stable,-2.9 ,5,367.2, 465.4,-16.1, 12.4
147,Madison County          ,412.4 ,86,stable,2.9 ,5,373.2, 454.9,-14.5, 23.8
148,Conway County          ,412.4 ,119,stable,1.2 ,5,378.8, 448.3,-4.1, 6.7
149,Columbia County          ,404.5 ,116,stable,-3.6 ,5,371.3, 439.9,-16.6, 11.4
150,St. Francis County          ,389.7 ,122,stable,2.2 ,5,358.7, 422.7,-6.3, 11.4
151,Hempstead County          ,386.3 ,108,stable,2.5 ,5,353.5, 421.4,-1.4, 6.5
152,Izard County          ,382.1 ,87,stable,-0.9 ,5,345.0, 422.8,-3.2, 1.3
153,Lincoln County          ,370.7 ,59,stable,-1.2 ,5,329.2, 416.3,-13.0, 12.2
154,Lafayette County          ,361.2 ,40,stable,-5.4 ,5,310.3, 419.2,-13.6, 3.5
155,Newton County          ,335.2 ,43,stable,4.1 ,5,289.0, 387.8,-12.2, 23.5
156,Sevier County          ,325.5 ,59,stable,-6.3 ,5,288.9, 365.3,-21.0, 11.2
157,"Shasta County          7,8",497.6 ,"1,217",stable,-0.4 ,6,484.6, 510.9,-0.8, 0.1
158,"Tehama County          7,8",479.9 ,400,falling,-0.7 ,6,458.4, 502.1,-1.2, -0.3
159,"Glenn County          7,8",471.4 ,151,stable,-0.5 ,6,437.8, 507.1,-1.4, 0.4
160,"Butte County          7,8",467.9 ,"1,308",falling,-0.8 ,6,456.1, 479.8,-1.2, -0.3
161,"Placer County          7,8",466.7 ,"2,237",falling,-0.4 ,6,457.9, 475.6,-0.7, -0.1
162,"Yuba County          7,8",450.3 ,318,falling,-0.9 ,6,427.9, 473.7,-1.6, -0.3
163,"Napa County          7,8",443.7 ,803,falling,-3.1 ,6,429.7, 458.0,-4.7, -1.5
164,"Inyo County          7,8",443.5 ,121,stable,-0.2 ,6,406.6, 483.2,-1.2, 0.8
165,"El Dorado County          7,8",441.5 ,"1,126",falling,-0.9 ,6,429.5, 453.8,-1.4, -0.4
166,"Marin County          7,8",440.7 ,"1,646",falling,-0.6 ,6,430.8, 450.8,-0.9, -0.3
167,"Humboldt County          7,8",439.4 ,714,falling,-1.3 ,6,424.4, 454.7,-1.8, -0.8
168,"San Luis Obispo County          7,8",437.7 ,"1,575",falling,-1.3 ,6,427.6, 447.9,-1.6, -0.9
169,"Sonoma County          7,8",437.1 ,"2,790",stable,-1.0 ,6,429.5, 444.7,-2.7, 0.8
170,"Amador County          7,8",434.9 ,276,falling,-1.2 ,6,410.6, 460.7,-1.9, -0.4
171,"Sacramento County          7,8",434.6 ,"6,759",falling,-1.8 ,6,429.9, 439.4,-2.5, -1.1
172,"Mendocino County          7,8",431.8 ,515,stable,-0.5 ,6,414.2, 449.9,-1.2, 0.2
173,"Lake County          7,8",431.7 ,411,falling,-1.3 ,6,412.1, 452.1,-1.9, -0.8
174,"Santa Cruz County          7,8",430.7 ,"1,312",falling,-0.8 ,6,419.9, 441.8,-1.2, -0.4
175,"Solano County          7,8",430.2 ,"2,081",falling,-3.6 ,6,421.8, 438.8,-5.1, -2.1
176,"Santa Barbara County          7,8",429.5 ,"2,041",stable,-0.5 ,6,421.0, 438.1,-0.9, 0.0
177,"Contra Costa County          7,8",427.0 ,"5,427",falling,-2.7 ,6,421.8, 432.3,-3.8, -1.6
178,"Trinity County          7,8",418.7 ,92,stable,-1.3 ,6,377.4, 464.0,-2.6, 0.1
179,"Stanislaus County          7,8",416.5 ,"2,193",falling,-1.7 ,6,408.6, 424.5,-2.5, -0.9
180,"San Diego County          7,8",415.7 ,"14,020",falling,-1.7 ,6,412.6, 418.8,-2.1, -1.3
181,"Ventura County          7,8",415.3 ,"3,856",falling,-1.8 ,6,409.3, 421.3,-2.6, -1.0
182,"San Mateo County          7,8",415.0 ,"3,691",falling,-2.1 ,6,408.9, 421.2,-3.5, -0.6
183,"San Joaquin County          7,8",413.2 ,"2,895",falling,-1.2 ,6,406.4, 420.2,-2.1, -0.4
184,"Del Norte County          7,8",411.8 ,140,stable,-1.3 ,6,381.1, 444.5,-2.5, 0.0
185,"Modoc County          7,8",411.6 ,59,stable,-0.9 ,6,362.5, 466.3,-2.4, 0.7
186,"Plumas County          7,8",410.9 ,132,stable,-1.0 ,6,376.6, 447.9,-2.1, 0.0
187,"Yolo County          7,8",406.4 ,794,falling,-0.9 ,6,393.6, 419.5,-1.3, -0.4
188,"San Francisco County          7,8",406.0 ,"4,031",falling,-1.1 ,6,400.3, 411.8,-1.4, -0.7
189,"San Bernardino County          7,8",404.9 ,"7,815",falling,-3.2 ,6,400.8, 409.0,-5.6, -0.8
190,"Tuolumne County          7,8",404.5 ,355,falling,-12.7 ,6,384.6, 425.4,-19.7, -5.2
191,"Calaveras County          7,8",404.5 ,309,stable,-0.8 ,6,382.6, 427.6,-1.7, 0.0
192,"Riverside County          7,8",404.1 ,"9,799",falling,-1.0 ,6,400.5, 407.8,-1.3, -0.7
193,"Orange County          7,8",404.1 ,"13,648",falling,-0.9 ,6,401.1, 407.2,-1.2, -0.7
194,"Nevada County          7,8",403.8 ,653,falling,-1.9 ,6,389.0, 419.2,-2.4, -1.3
195,"San Benito County          7,8",399.6 ,234,stable,-0.7 ,6,376.4, 423.9,-1.6, 0.3
196,"Kern County          7,8",396.9 ,"3,024",falling,-1.0 ,6,390.5, 403.4,-1.4, -0.7
197,"Fresno County          7,8",396.0 ,"3,541",falling,-1.7 ,6,390.0, 401.9,-2.4, -1.0
198,"Madera County          7,8",395.9 ,617,stable,-0.7 ,6,381.8, 410.4,-1.3, 0.0
199,"Monterey County          7,8",394.0 ,"1,679",falling,-0.8 ,6,385.4, 402.7,-1.2, -0.3
200,"Sutter County          7,8",392.9 ,413,falling,-0.8 ,6,375.9, 410.5,-1.4, -0.2
201,"Alameda County          7,8",392.8 ,"6,703",falling,-1.8 ,6,388.5, 397.1,-2.4, -1.3
202,"Merced County          7,8",391.5 ,914,falling,-1.1 ,6,380.1, 403.2,-1.6, -0.7
203,"Imperial County          7,8",391.2 ,670,stable,-0.5 ,6,378.0, 404.9,-1.0, 0.1
204,"Colusa County          7,8",390.7 ,88,stable,0.6 ,6,354.1, 430.0,-1.3, 2.5
205,"Santa Clara County          7,8",390.4 ,"7,646",falling,-1.9 ,6,386.5, 394.4,-2.5, -1.3
206,"Siskiyou County          7,8",388.0 ,271,falling,-3.5 ,6,365.9, 411.2,-5.4, -1.5
207,"Los Angeles County          7,8",382.3 ,"39,457",falling,-1.5 ,6,380.6, 384.0,-2.5, -0.4
208,"Lassen County          7,8",378.3 ,130,stable,0.7 ,6,348.9, 409.7,-0.7, 2.2
209,"Kings County          7,8",371.8 ,466,falling,-6.0 ,6,356.5, 387.5,-11.0, -0.8
210,"Tulare County          7,8",371.7 ,"1,489",falling,-1.4 ,6,363.1, 380.3,-1.7, -1.1
211,"Mariposa County          7,8",371.1 ,116,falling,-1.9 ,6,339.1, 405.8,-2.7, -1.1
212,"Sierra County          7,8",333.7 ,18,stable,-0.5 ,6,258.7, 428.1,-3.1, 2.2
213,"Mono County          7,8",307.2 ,49,stable,-1.3 ,6,267.9, 350.9,-3.7, 1.2
214,"Alpine County          7,8",290.6 ,5,stable,3.4 ,6,174.3, 468.7,-4.1, 11.5
215,Kiowa County          ,487.5 ,10,stable,-0.3 ,8,345.6, 672.1,-43.8, 77.0
216,Mineral County          ,460.2 ,6,stable,-4.9 ,8,286.5, 726.2,-44.7, 63.7
217,Fremont County          ,435.6 ,292,stable,-2.3 ,8,412.8, 459.5,-10.4, 6.5
218,El Paso County          ,431.9 ,"2,807",stable,-0.7 ,8,424.6, 439.3,-3.5, 2.2
219,Phillips County          ,420.5 ,26,stable,4.9 ,8,346.9, 506.2,-18.5, 34.9
220,Pueblo County          ,419.6 ,854,stable,-0.1 ,8,406.7, 432.8,-2.4, 2.3
221,Denver County          ,418.6 ,"2,626",falling,-1.9 ,8,411.3, 426.0,-3.5, -0.3
222,Garfield County          ,411.9 ,233,stable,-0.3 ,8,387.5, 437.5,-4.8, 4.5
223,Mesa County          ,410.8 ,766,stable,1.4 ,8,397.4, 424.5,-7.0, 10.5
224,Jefferson County          ,410.6 ,"2,755",stable,-1.6 ,8,403.5, 417.7,-3.7, 0.4
225,Teller County          ,408.1 ,133,stable,-5.2 ,8,373.3, 445.5,-18.7, 10.5
226,Adams County          ,406.0 ,"1,682",stable,-0.9 ,8,397.1, 415.1,-3.9, 2.3
227,Arapahoe County          ,405.7 ,"2,522",falling,-2.7 ,8,398.4, 413.1,-4.4, -0.9
228,Chaffee County          ,405.6 ,118,stable,-0.5 ,8,371.4, 442.6,-11.2, 11.5
229,Moffat County          ,405.5 ,59,stable,-6.6 ,8,358.3, 457.1,-17.1, 5.2
230,Clear Creek County          ,403.7 ,53,stable,4.3 ,8,351.0, 463.0,-9.6, 20.5
231,Cheyenne County          ,401.1 ,10,stable,-8.8 ,8,291.6, 540.6,-36.4, 30.8
232,Larimer County          ,399.5 ,"1,416",stable,0.4 ,8,390.0, 409.2,-2.9, 3.8
233,Broomfield County          ,394.8 ,254,stable,-1.7 ,8,372.9, 417.6,-5.0, 1.6
234,Douglas County          ,394.2 ,"1,144",stable,-1.1 ,8,383.3, 405.3,-3.0, 0.9
235,Ouray County          ,391.7 ,29,stable,-3.7 ,8,321.3, 475.4,-25.1, 23.9
236,Weld County          ,390.1 ,"1,040",stable,-1.1 ,8,379.2, 401.1,-3.4, 1.3
237,Custer County          ,387.5 ,37,falling,-10.0 ,8,326.8, 461.0,-16.4, -3.1
238,Logan County          ,385.9 ,103,stable,0.1 ,8,352.5, 421.7,-5.5, 6.1
239,Boulder County          ,382.6 ,"1,239",falling,-3.1 ,8,372.9, 392.6,-6.1, -0.1
240,Prowers County          ,382.4 ,58,stable,-0.3 ,8,338.3, 430.8,-11.5, 12.3
241,Delta County          ,382.3 ,178,stable,-1.3 ,8,355.5, 410.9,-6.9, 4.5
242,Rio Blanco County          ,382.2 ,29,stable,-4.6 ,8,321.0, 452.2,-28.2, 26.8
243,Montrose County          ,381.3 ,224,stable,1.1 ,8,358.2, 405.7,-8.7, 11.9
244,Morgan County          ,380.7 ,122,stable,-1.3 ,8,350.5, 412.8,-11.3, 9.9
245,Elbert County          ,375.0 ,111,stable,-3.2 ,8,340.7, 411.9,-12.9, 7.5
246,Alamosa County          ,374.5 ,59,stable,-1.9 ,8,331.6, 421.4,-15.5, 13.9
247,Lincoln County          ,373.5 ,26,stable,0.9 ,8,310.6, 446.1,-11.4, 15.1
248,Kit Carson County          ,367.8 ,38,stable,1.5 ,8,316.2, 426.0,-20.9, 30.1
249,Routt County          ,367.7 ,95,stable,-7.7 ,8,332.3, 406.0,-17.8, 3.6
250,Yuma County          ,366.5 ,45,stable,2.3 ,8,319.1, 419.2,-17.3, 26.5
251,Gilpin County          ,365.7 ,26,stable,-7.7 ,8,293.7, 450.9,-25.5, 14.5
252,Las Animas County          ,365.2 ,79,stable,1.8 ,8,328.2, 405.7,-12.6, 18.6
253,Baca County          ,362.8 ,20,stable,7.1 ,8,284.9, 456.6,-5.1, 20.9
254,Huerfano County          ,362.6 ,45,stable,-3.2 ,8,309.8, 423.8,-13.9, 8.7
255,Otero County          ,362.2 ,95,stable,-5.5 ,8,329.3, 397.8,-12.5, 2.0
256,Washington County          ,352.2 ,24,stable,-7.6 ,8,289.1, 426.3,-28.5, 19.5
257,Bent County          ,351.1 ,26,stable,3.5 ,8,292.6, 419.1,-7.9, 16.3
258,Gunnison County          ,350.9 ,55,stable,5.9 ,8,307.7, 398.5,-11.7, 26.9
259,Saguache County          ,347.9 ,32,stable,6.1 ,8,291.3, 413.4,-4.1, 17.5
260,La Plata County          ,345.6 ,221,stable,-8.3 ,8,324.5, 367.8,-16.1, 0.3
261,Montezuma County          ,345.3 ,124,falling,-7.9 ,8,317.2, 375.5,-10.9, -4.8
262,Eagle County          ,338.8 ,160,stable,-4.3 ,8,312.2, 367.1,-8.5, 0.2
263,San Miguel County          ,335.0 ,27,stable,4.3 ,8,269.1, 411.9,-21.3, 38.3
264,Rio Grande County          ,332.2 ,52,stable,-4.1 ,8,291.4, 377.6,-19.2, 13.8
265,Archuleta County          ,327.7 ,62,stable,-3.5 ,8,288.1, 371.7,-18.4, 14.1
266,Hinsdale County          ,322.7 ,4,stable,-8.3 ,8,181.0, 547.0,-69.2, 173.0
267,Pitkin County          ,321.1 ,75,stable,-1.1 ,8,286.9, 358.7,-4.9, 2.8
268,Park County          ,318.6 ,75,stable,-6.2 ,8,281.2, 360.0,-15.1, 3.6
269,Sedgwick County          ,309.9 ,12,stable,-7.7 ,8,230.1, 412.3,-37.7, 36.8
270,Lake County          ,307.4 ,23,stable,-6.9 ,8,250.2, 373.6,-34.8, 33.1
271,Grand County          ,303.6 ,52,stable,0.6 ,8,264.0, 347.5,-12.4, 15.5
272,Costilla County          ,302.5 ,18,stable,-11.3 ,8,237.8, 382.6,-31.9, 15.6
273,Crowley County          ,296.2 ,18,stable,1.3 ,8,236.6, 367.3,-29.9, 46.5
274,Conejos County          ,287.7 ,30,stable,-1.0 ,8,241.9, 340.0,-8.3, 6.9
275,Jackson County          ,282.8 ,5,stable,7.3 ,8,180.6, 428.7,-23.7, 50.8
